strategy_mode,fast_span,slow_span,stop_loss_pct,final_equity,total_return_pct,total_trades,winning_trades,losing_trades,win_rate_pct,profit_factor,maximum_drawdown_pct,eligible
LONG_CASH,20,75,2.0,1072.9471417145833,7.2947141714583275,11,5,6,45.45454545454545,6.874505844161232,2.429366432013299,True
LONG_CASH,20,75,3.0,1070.924553458112,7.092455345811199,10,5,5,50.0,5.920529956924799,2.613294614454527,True
LONG_CASH,20,75,5.0,1070.532624854165,7.053262485416512,10,5,5,50.0,5.7654389276988685,2.6489354402825467,True
LONG_CASH,10,100,2.0,1068.2320717138105,6.823207171381052,12,6,6,50.0,6.6158233187397055,2.50950294914711,True
LONG_CASH,10,100,3.0,1067.9118432522073,6.791184325220723,11,6,5,54.54545454545454,6.4482447615648395,2.538728089187514,True
LONG_CASH,10,100,5.0,1065.5343322433528,6.553433224335281,11,6,5,54.54545454545454,5.427063094423644,2.865058161628775,True
LONG_CASH,5,40,5.0,1055.4898641659804,5.548986416598045,25,11,14,44.0,2.7638880785724615,1.1986099531887076,True
LONG_CASH,5,150,2.0,1054.249928483433,5.424992848343302,16,5,11,31.25,3.348878985474425,2.8835774128125697,True
LONG_CASH,30,75,5.0,1054.0395839949256,5.403958399492548,7,4,3,57.14285714285714,5.3632780489029255,2.6654036345234013,True
LONG_CASH,5,40,3.0,1053.5025956659779,5.3502595665977815,26,11,15,42.30769230769231,2.598619154808244,1.3636184116030956,True
LONG_CASH,30,100,5.0,1051.9506325003367,5.195063250033671,7,4,3,57.14285714285714,5.637051483777469,2.434248934656675,True
LONG_CASH,5,100,2.0,1051.3457150385436,5.134571503854368,16,6,10,37.5,3.5035875794368705,2.610376093811031,True
LONG_CASH,5,150,3.0,1051.3215589072017,5.13215589072018,14,5,9,35.714285714285715,2.9794468892313377,2.949509590959239,True
LONG_CASH,5,100,3.0,1051.1738876457077,5.117388764570774,14,6,8,42.857142857142854,3.4644427472489974,2.793963059055245,True
LONG_CASH,30,50,5.0,1051.0958810476404,5.109588104764051,13,7,6,53.84615384615385,3.059103078118523,3.228379607410694,True
LONG_CASH,5,200,2.0,1051.0537536440474,5.105375364404741,16,4,12,25.0,3.0326538420927736,3.2342163811234794,True
LONG_CASH,30,75,2.0,1050.4221748225386,5.0422174822538635,11,4,7,36.36363636363637,4.553434740877342,2.5560943034482735,True
LONG_CASH,5,100,5.0,1050.1876783588013,5.0187678358801335,14,6,8,42.857142857142854,3.3089511720280536,2.885161572927396,True
LONG_CASH,30,75,3.0,1049.808697027098,4.980869702709811,9,4,5,44.44444444444444,4.387416968945686,2.839751861573647,True
LONG_CASH,5,150,5.0,1049.4227150165527,4.942271501655271,14,5,9,35.714285714285715,2.7766152339189687,3.157734901133173,True
LONG_CASH,30,50,2.0,1049.135922751894,4.9135922751893935,16,5,11,31.25,3.134331122455356,2.8347795509759006,True
LONG_CASH,5,200,3.0,1049.0392509345318,4.9039250934531875,14,4,10,28.57142857142857,2.8173035162124602,3.211572344925681,True
LONG_CASH,30,40,2.0,1048.8024548480814,4.880245484808143,19,6,13,31.57894736842105,2.7129587363863465,2.5591739911441893,True
LONG_CASH,5,75,2.0,1048.2025683315733,4.8202568331573215,22,9,13,40.909090909090914,3.026959989056237,1.612248773337327,True
LONG_CASH,5,75,3.0,1048.0809002326557,4.8080900232655654,21,10,11,47.61904761904761,2.97678119199723,1.8092053642500001,True
LONG_CASH,5,75,5.0,1048.0166944339683,4.801669443396817,21,10,11,47.61904761904761,2.9680533901429427,1.8840255472681742,True
LONG_CASH,30,40,5.0,1047.8164879621695,4.781648796216942,15,7,8,46.666666666666664,2.4040487523412275,3.153968124532031,True
LONG_CASH,5,50,5.0,1046.897011971234,4.689701197123397,24,10,14,41.66666666666667,2.590030114870328,1.6843606815500036,True
LONG_CASH,10,40,3.0,1046.2217605756862,4.622176057568628,23,9,14,39.130434782608695,2.5122996027032283,1.8766173194063014,True
LONG_CASH,20,200,3.0,1046.2157544940676,4.621575449406756,6,2,4,33.33333333333333,4.610457307325136,2.8100477333651397,True
LONG_CASH,10,75,3.0,1045.892822341412,4.589282234141212,15,6,9,40.0,3.0080599131439225,2.287012656198686,True
LONG_CASH,5,40,2.0,1045.709196591563,4.570919659156303,29,10,19,34.48275862068966,2.32791539066063,1.419274366346541,True
LONG_CASH,30,50,3.0,1045.1842463352536,4.518424633525364,14,5,9,35.714285714285715,2.688073257269206,2.9093681733716923,True
LONG_CASH,20,50,2.0,1045.173529653303,4.51735296533029,18,5,13,27.77777777777778,2.7001773588805422,2.4262691200067956,True
LONG_CASH,5,50,2.0,1045.065896599608,4.506589659960802,26,10,16,38.46153846153847,2.613480724247405,1.485078087856654,True
LONG_CASH,30,100,2.0,1045.0362687962906,4.5036268796290635,14,4,10,28.57142857142857,3.0648799693529036,2.634856878902756,True
LONG_CASH,30,100,3.0,1043.5716405792252,4.357164057922525,11,4,7,36.36363636363637,3.2126681569857714,2.7972970648260453,True
LONG_CASH,20,200,5.0,1043.188388149372,4.318838814937198,5,2,3,40.0,3.7519000134686005,3.004899116641077,True
LONG_CASH,10,200,3.0,1042.9990183716955,4.299901837169551,9,4,5,44.44444444444444,3.873652043527812,3.5554135411132717,True
LONG_CASH,10,75,5.0,1042.7258356514735,4.272583565147348,14,6,8,42.857142857142854,2.686740093679009,2.6258977807440553,True
LONG_CASH,20,75,8.0,1042.721413268969,4.2721413268969055,10,5,5,50.0,5.190720118031708,1.7897223739852548,True
LONG_CASH,30,150,3.0,1042.5313818495001,4.253138184950012,10,3,7,30.0,2.927152905434473,3.2435588148098127,True
LONG_CASH,10,40,5.0,1042.5309703551586,4.253097035515863,23,9,14,39.130434782608695,2.2460679321334647,2.0400961323471,True
LONG_CASH,30,40,3.0,1042.2331011276892,4.22331011276893,17,6,11,35.294117647058826,2.2144163105545847,2.8288854409636772,True
LONG_CASH,20,100,5.0,1041.8538236566249,4.185382365662482,9,4,5,44.44444444444444,3.4136226694267204,3.136611659199685,True
LONG_CASH,30,200,2.0,1041.5022502649965,4.150225026499643,12,2,10,16.666666666666664,3.038529548913536,3.1742964711601727,True
LONG_CASH,30,150,2.0,1041.170539035792,4.117053903579193,14,3,11,21.428571428571427,2.739573894747485,3.0737674707035443,True
LONG_CASH,10,100,8.0,1040.744741421684,4.074474142168394,11,6,5,54.54545454545454,5.476608285878933,1.8223442780398806,True
LONG_CASH,5,50,3.0,1040.3480048337647,4.034800483376477,25,10,15,40.0,2.2389646531766307,1.618506429682676,True
LONG_CASH,10,200,2.0,1040.2362730502578,4.023627305025768,12,4,8,33.33333333333333,3.2961233820894225,3.597395309536494,True
LONG_CASH,10,40,2.0,1040.093300101796,4.0093300101796014,25,9,16,36.0,2.2708638592959907,1.9368999711571424,True
LONG_CASH,20,40,3.0,1040.0406900109494,4.004069001094934,16,5,11,31.25,2.210884747161638,2.9602066823226516,True
LONG_CASH,20,40,2.0,1040.0038523642822,4.000385236428228,20,5,15,25.0,2.2292540679398836,2.7080223247521222,True
LONG_CASH,20,100,3.0,1039.6894452341228,3.9689445234122767,11,4,7,36.36363636363637,3.0893393055877243,3.134008546170846,True
LONG_CASH,10,200,5.0,1039.6596905495308,3.965969054953078,8,4,4,50.0,3.171176083888916,3.864196277421216,True
LONG_CASH,30,200,3.0,1038.6194228771851,3.8619422877185006,10,2,8,20.0,2.6711414870127452,3.1341324508510544,True
LONG_CASH,20,50,5.0,1038.1767510066013,3.817675100660134,15,6,9,40.0,2.123713555494706,3.170834920225909,True
LONG_CASH,30,150,5.0,1037.7041385850043,3.770413858500432,7,3,4,42.857142857142854,2.818199829894633,3.1672476668833487,True
LONG_CASH,5,200,5.0,1037.650584474026,3.7650584474025806,14,4,10,28.57142857142857,1.9925172673251,3.6531381718237874,True
LONG_CASH,10,75,2.0,1037.257690215769,3.7257690215768857,19,5,14,26.31578947368421,2.2652201417808864,2.3079387914121385,True
LONG_CASH,10,150,5.0,1036.756066625222,3.6756066625222017,10,4,6,40.0,2.4030969296241484,3.556665020548687,True
LONG_CASH,30,200,5.0,1036.502947829358,3.6502947829357923,7,2,5,28.57142857142857,2.8861357546283504,3.057734999094647,True
LONG_CASH,20,40,5.0,1036.3966326051038,3.639663260510373,15,6,9,40.0,1.9723249463822334,3.757464445814249,True
LONG_CASH,10,50,2.0,1036.2997752787064,3.6299775278706425,21,7,14,33.33333333333333,2.3300390251295577,2.120826081981584,True
LONG_CASH,20,200,2.0,1036.012096322494,3.6012096322493914,11,2,9,18.181818181818183,2.8730145324617014,3.431977696647455,True
LONG_CASH,10,50,5.0,1035.8052850896686,3.5805285089668626,18,7,11,38.88888888888889,2.291835626122462,2.207699258861983,True
LONG_CASH,10,150,3.0,1035.7779094111058,3.5777909411105924,13,4,9,30.76923076923077,2.3123117734777465,3.7385731091881937,True
LONG_CASH,20,50,3.0,1035.4517866483266,3.54517866483266,17,5,12,29.411764705882355,1.985914005835267,2.945671260429545,True
LONG_CASH,30,50,8.0,1035.0191517003009,3.50191517003009,12,7,5,58.333333333333336,3.8550444246633364,1.7791330598885342,True
LONG_CASH,5,40,8.0,1034.4992112724103,3.449921127241029,25,11,14,44.0,2.7693301557727503,0.7512344320247525,True
LONG_CASH,20,75,10.0,1034.1343722276126,3.413437222761262,10,5,5,50.0,5.218787454885951,1.438601948676536,True
LONG_CASH,10,150,2.0,1033.0087441795004,3.3008744179500393,18,4,14,22.22222222222222,2.1055651853657276,3.879208650384964,True
LONG_CASH,20,150,3.0,1033.0078134584412,3.300781345844128,14,4,10,28.57142857142857,2.1543668613590308,4.010041110203226,True
LONG_CASH,30,40,8.0,1032.6550787342376,3.2655078734237675,14,7,7,50.0,2.77656662033398,1.7321482371846035,True
LONG_CASH,10,100,10.0,1032.5500923401976,3.2550092340197567,11,6,5,54.54545454545454,5.501979936008671,1.4655000348541223,True
LONG_CASH,30,75,8.0,1032.2851521522082,3.2285152152208285,7,4,3,57.14285714285714,4.5706825961536355,1.8271544639465214,True
LONG_CASH,5,100,8.0,1031.393383146211,3.1393383146210985,14,6,8,42.857142857142854,3.3389825858841666,1.8322047248725586,True
LONG_CASH,5,75,8.0,1031.1695066470024,3.1169506647002354,21,10,11,47.61904761904761,3.241462911687997,1.0608132127433523,True
LONG_CASH,5,150,8.0,1030.9516041551635,3.0951604155163626,14,5,9,35.714285714285715,2.8072489679330057,2.0004596283481413,True
LONG_CASH,30,100,8.0,1030.6505604006434,3.065056040064329,7,4,3,57.14285714285714,4.536089534887538,1.711898470569096,True
LONG_CASH,10,50,3.0,1030.2433736754967,3.0243373675496787,20,7,13,35.0,1.9145784168030442,2.316764582210449,True
LONG_CASH,5,50,8.0,1029.1963896476755,2.919638964767546,24,10,14,41.66666666666667,2.6025955910554806,1.0562058191106627,True
LONG_CASH,10,75,8.0,1028.7726494250105,2.8772649425010455,14,6,8,42.857142857142854,3.093972407012679,1.597530449647383,True
LONG_CASH,30,50,10.0,1028.0093194361928,2.800931943619278,12,7,5,58.333333333333336,3.868892498461198,1.4299875454038098,True
LONG_CASH,5,40,10.0,1027.550755862414,2.7550755862413956,25,11,14,44.0,2.771138191114316,0.6015504831316296,True
LONG_CASH,10,40,8.0,1027.5499064119044,2.754990641190447,23,9,14,39.130434782608695,2.3706458898717275,1.1800392631788759,True
LONG_CASH,20,150,5.0,1027.0295566057337,2.7029556605733696,11,4,7,36.36363636363637,1.78568600693432,4.3738411525754275,True
