fold,strategy_mode,train_start,train_end,validation_start,validation_end,fast_span,slow_span,stop_loss_pct,start_equity,final_equity,return_pct,total_trades,win_rate_pct,maximum_drawdown_pct,profit_factor
1,LONG_CASH,2018-01-02 05:00:00+00:00,2020-12-22 05:00:00+00:00,2020-12-23 05:00:00+00:00,2021-12-20 05:00:00+00:00,20,75,2.0,1000.0,1025.0259973749282,2.5025997374928277,1,100.0,0.6186064128358764,
2,LONG_CASH,2018-12-31 05:00:00+00:00,2021-12-20 05:00:00+00:00,2021-12-21 05:00:00+00:00,2022-12-16 05:00:00+00:00,20,75,2.0,1025.0259973749282,1014.2138573604776,-1.0548161746277929,5,0.0,1.3658382337706045,0.0
3,LONG_CASH,2019-12-27 05:00:00+00:00,2022-12-16 05:00:00+00:00,2022-12-19 05:00:00+00:00,2023-12-15 05:00:00+00:00,5,100,2.0,1014.2138573604776,1023.8330581522993,0.9484391010842419,5,40.0,0.9935403148964277,2.5925232990019165
4,LONG_CASH,2020-12-23 05:00:00+00:00,2023-12-15 05:00:00+00:00,2023-12-18 05:00:00+00:00,2024-12-13 05:00:00+00:00,5,40,5.0,1023.8330581522993,1040.5512587698115,1.6329029898373593,4,50.0,1.2340426334149537,10.774811830715617
5,LONG_CASH,2021-12-21 05:00:00+00:00,2024-12-13 05:00:00+00:00,2024-12-16 05:00:00+00:00,2025-12-15 05:00:00+00:00,30,200,2.0,1040.5512587698115,1046.7310789759806,0.5938986815003489,6,16.666666666666664,1.0607859039232659,1.5630352432829249
