strategy,final_equity,return_pct,cagr_pct,max_drawdown_pct,total_trades,return_mdd
Adaptive Walk-Forward,1046.7310789759806,4.67310789759805,0.9218088762015242,1.922704076274222,21,2.430487330454672
Fixed 20/75/2,1061.7925094152647,6.179250941526471,1.2118969865276608,2.2086541367130708,11,2.7977449428648256
10% SPY Buy & Hold,1097.2018440139343,9.720184401393439,1.8811572626282747,3.1213256488363412,1,3.1141205676559935
